DatasetName                                 Total nbr events                                 Generator                                 fragment                                 gridpack location
HToZATo2L2B_MH-1000p00_MA-50p00_tb-20p00_TuneCP5_bbH4F_13TeV-mcatnlo-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_aMCatNLO_HToZATo2L2B_bbH-4FS_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_1000p00_50p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-200p00_MA-100p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_200p00_100p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
HToZATo2L2B_MH-200p00_MA-100p00_tb-20p00_TuneCP5_bbH4F_13TeV-mcatnlo-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_aMCatNLO_HToZATo2L2B_bbH-4FS_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_200p00_100p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-200p00_MA-125p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_200p00_125p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
HToZATo2L2B_MH-200p00_MA-125p00_tb-20p00_TuneCP5_bbH4F_13TeV-mcatnlo-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_aMCatNLO_HToZATo2L2B_bbH-4FS_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_200p00_125p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-250p00_MA-100p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_250p00_100p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
HToZATo2L2B_MH-250p00_MA-100p00_tb-20p00_TuneCP5_bbH4F_13TeV-mcatnlo-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_aMCatNLO_HToZATo2L2B_bbH-4FS_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_250p00_100p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-250p00_MA-50p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_250p00_50p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
HToZATo2L2B_MH-250p00_MA-50p00_tb-20p00_TuneCP5_bbH4F_13TeV-mcatnlo-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_aMCatNLO_HToZATo2L2B_bbH-4FS_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_250p00_50p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-300p00_MA-100p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_300p00_100p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
HToZATo2L2B_MH-300p00_MA-100p00_tb-20p00_TuneCP5_bbH4F_13TeV-mcatnlo-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_aMCatNLO_HToZATo2L2B_bbH-4FS_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_300p00_100p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-300p00_MA-200p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_300p00_200p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
HToZATo2L2B_MH-300p00_MA-200p00_tb-20p00_TuneCP5_bbH4F_13TeV-mcatnlo-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_aMCatNLO_HToZATo2L2B_bbH-4FS_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_300p00_200p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-300p00_MA-50p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_300p00_50p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
HToZATo2L2B_MH-300p00_MA-50p00_tb-20p00_TuneCP5_bbH4F_13TeV-mcatnlo-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_aMCatNLO_HToZATo2L2B_bbH-4FS_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_300p00_50p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-500p00_MA-100p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_500p00_100p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
HToZATo2L2B_MH-500p00_MA-100p00_tb-20p00_TuneCP5_bbH4F_13TeV-mcatnlo-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_aMCatNLO_HToZATo2L2B_bbH-4FS_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_500p00_100p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-500p00_MA-200p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_500p00_200p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
HToZATo2L2B_MH-500p00_MA-200p00_tb-20p00_TuneCP5_bbH4F_13TeV-mcatnlo-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_aMCatNLO_HToZATo2L2B_bbH-4FS_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_500p00_200p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-500p00_MA-300p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_500p00_300p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
HToZATo2L2B_MH-500p00_MA-300p00_tb-20p00_TuneCP5_bbH4F_13TeV-mcatnlo-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_aMCatNLO_HToZATo2L2B_bbH-4FS_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_500p00_300p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-500p00_MA-400p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_500p00_400p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
HToZATo2L2B_MH-500p00_MA-400p00_tb-20p00_TuneCP5_bbH4F_13TeV-mcatnlo-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_aMCatNLO_HToZATo2L2B_bbH-4FS_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_500p00_400p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-500p00_MA-50p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_500p00_50p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
HToZATo2L2B_MH-500p00_MA-50p00_tb-20p00_TuneCP5_bbH4F_13TeV-mcatnlo-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_aMCatNLO_HToZATo2L2B_bbH-4FS_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_500p00_50p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-510p00_MA-130p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_510p00_130p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
HToZATo2L2B_MH-510p00_MA-130p00_tb-20p00_TuneCP5_bbH4F_13TeV-mcatnlo-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_aMCatNLO_HToZATo2L2B_bbH-4FS_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/HToZATo2L2B_510p00_130p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
